id,x,y,type
254,159.68,681.46,road
255,169.18,658.64,road
256,180.6,637.71,road
257,190.11,614.89,road
258,195.81,605.38,road
259,176.79,595.87,road
260,157.77,586.36,road
261,142.56,576.85,road
262,150.17,609.19,road
263,133.05,611.09,road
264,133.05,592.07,road
265,115.93,592.07,road
266,96.91,592.07,road
267,79.79,593.97,road
268,77.89,628.2,road
269,96.91,628.2,road
270,115.93,628.2,road
271,133.05,626.3,road
272,159.68,628.2,road
273,237.65,635.81,road
274,249.07,612.99,road
275,237.65,605.38,road
276,201.52,592.07,road
277,258.58,592.07,road
278,277.6,567.34,road
279,420.24,637.71,road
280,429.75,614.89,road
281,439.26,593.97,road
282,412.63,658.64,road
283,403.12,677.66,road
284,399.32,685.26,road
285,363.18,670.05,road
286,353.67,652.93,road
287,300.42,632.01,road
288,289.01,656.73,road
289,391.71,702.38,road
290,382.2,725.2,road
291,370.79,744.22,road
292,368.89,768.95,road
293,260.48,723.3,road
294,271.89,704.28,road
295,281.4,681.46,road
296,252.87,744.22,road
297,853.88,422.8,road
298,821.55,407.58,road
299,793.02,418.99,road
300,766.39,430.4,road
301,741.67,441.81,road
302,711.24,447.52,road
303,734.06,514.09,road
304,718.84,521.7,road
305,745.47,506.48,road
306,758.79,493.17,road
307,770.2,487.46,road
308,781.61,476.05,road
309,793.02,470.34,road
310,810.14,455.13,road
311,872.9,565.44,road
312,842.47,578.75,road
313,812.04,571.15,road
314,813.94,593.97,road
315,794.92,601.58,road
316,829.16,618.7,road
317,808.24,641.52,road
318,813.94,675.75,road
319,787.31,668.15,road
320,762.59,677.66,road
321,743.57,660.54,road
322,713.14,645.32,road
323,635.16,607.28,road
324,614.24,597.77,road
325,591.42,584.46,road
326,564.79,628.2,road
327,570.49,641.52,road
328,547.67,641.52,road
329,572.4,668.15,road
330,625.65,641.52,road
331,652.28,649.13,road
332,684.61,660.54,road
333,572.4,692.87,road
334,572.4,715.69,road
335,570.49,746.12,road
336,517.24,778.46,road
337,519.14,799.38,road
338,581.91,767.05,road
339,652.28,768.95,road
340,806.33,690.97,road
341,827.26,727.11,road
342,823.45,713.79,road
343,730.26,767.05,road
344,715.04,736.62,road
345,694.12,748.03,road
346,673.2,757.54,road
347,711.24,780.36,road
348,692.22,789.87,road
349,669.39,799.38,road
350,654.18,808.89,road
351,652.28,824.1,road
352,661.79,845.03,road
353,673.2,867.85,road
354,618.04,896.38,road
355,599.02,879.26,road
356,581.91,862.14,road
357,882.41,527.4,road
358,929.96,495.07,road
359,920.45,481.76,road
360,888.12,544.52,road
361,941.37,512.19,road
362,954.69,542.62,road
363,905.23,571.15,road
364,475.4,179.35,facility
365,625.65,249.72,facility
366,694.12,287.76,facility
367,760.69,325.8,facility
368,895.73,386.66,facility
369,992.72,432.31,facility
370,1080.21,479.85,facility
371,1061.19,506.48,facility
372,928.06,438.01,facility
373,762.59,417.09,facility
374,671.3,441.81,facility
375,671.3,318.19,facility
376,416.44,228.8,facility
377,406.93,321.99,facility
378,376.5,396.17,facility
379,424.04,443.72,facility
380,315.63,493.17,facility
381,308.03,567.34,facility
382,412.63,616.79,facility
383,290.91,696.67,facility
384,110.22,744.22,facility
385,228.14,806.99,facility
386,342.26,826.01,facility
387,528.65,816.5,facility
388,580.0,675.75,facility
389,697.92,616.79,facility
390,724.55,628.2,facility
391,819.65,744.22,facility
392,680.81,816.5,facility
393,1179.11,827.91,facility
394,1131.57,729.01,facility
395,1259.0,662.44,facility
396,1165.8,597.77,facility
397,1152.49,536.91,facility
398,1369.31,605.38,facility
399,1483.42,620.6,facility
400,1633.68,652.93,facility
401,1262.8,314.38,facility
402,1333.17,434.21,facility
403,1141.08,272.54,facility
404,1152.49,192.66,facility
405,1025.06,217.39,facility
406,1047.88,78.54,facility
407,914.74,588.26,facility
408,570.49,523.6,facility
409,366.99,390.46,road
410,302.32,582.56,road
411,1173.41,580.66,road
412,1141.08,548.32,road
413,1365.5,624.4,road
414,1485.33,694.77,facility
415,186.3,584.46,facility
416,754.98,337.21,facility
423,827.57,115.45,accident
425,938.54,694.69,accident
